clue	human guess	model guess	average rank of correct guesses	model score	points
['cosmetic', 2]	['manicure', 'stick']	['dentist', 'manicure', 'stick', 'dress', 'leaf', 'cast', 'block', 'plate', 'ranch', 'iron', 'bill', 'wool', 'poison', 'spider', 'tap', 'vampire', 'alaska', 'comic', 'van', 'stadium', 'racket', 'bermuda', 'rope', 'ram', 'bugle']	1.5	0	1
['sport', 2]	['stadium', 'racket']	['stadium', 'dress', 'racket', 'wool', 'rope', 'van', 'ram', 'bermuda', 'spider', 'plate', 'bill', 'leaf', 'block', 'ranch', 'tap', 'cast', 'iron', 'comic', 'alaska', 'vampire', 'poison', 'dentist', 'bugle']	1	1	1
['anesthesia', 2]	['dentist', 'cast']	['dentist', 'poison', 'block', 'plate', 'tap', 'spider', 'rope', 'cast', 'iron', 'bill', 'alaska', 'comic', 'bermuda', 'wool', 'vampire', 'ram', 'dress', 'leaf', 'ranch', 'van', 'bugle']	3.5	1	1
['nature', 2]	['leaf', 'spider']	['leaf', 'bill', 'poison', 'block', 'alaska', 'comic', 'dress', 'iron', 'ranch', 'vampire', 'bermuda', 'spider', 'van', 'plate', 'wool', 'ram', 'tap', 'rope', 'bugle']	5.5	1	1
['housing', 2]	['block', 'ranch']	['plate', 'block', 'bill', 'ranch', 'alaska', 'ram', 'tap', 'iron', 'rope', 'dress', 'van', 'bermuda', 'comic', 'wool', 'poison', 'vampire', 'bugle']	2	0	1
['garden', 3]	['yard', 'pew', 'earth']	['yard', 'table', 'road', 'bar', 'heart', 'earth', 'row', 'court', 'paint', 'lead', 'brush', 'australia', 'computer', 'suit', 'blues', 'mexico', 'minute', 'pass', 'casino', 'marathon', 'wave', 'pew', 'toast', 'whale', 'chip']	8.666666666666666	1	1
['endurance', 3]	['marathon', 'row', 'wave']	['marathon', 'heart', 'minute', 'road', 'suit', 'lead', 'bar', 'wave', 'table', 'pass', 'australia', 'chip', 'computer', 'paint', 'court', 'blues', 'mexico', 'row', 'whale', 'casino', 'toast', 'brush']	8	1	1
['gambling', 2]	['casino', 'chip']	['casino', 'table', 'computer', 'mexico', 'chip', 'bar', 'lead', 'court', 'australia', 'pass', 'heart', 'suit', 'minute', 'blues', 'road', 'whale', 'paint', 'toast', 'brush']	2	1	1
['kangaroo', 1]	['australia']	['australia', 'whale', 'suit', 'bar', 'road', 'brush', 'minute', 'blues', 'paint', 'pass', 'table', 'lead', 'computer']	0	1	1
['mammal', 1]	['whale']	['whale', 'computer', 'minute', 'lead', 'suit', 'brush', 'paint', 'table', 'blues', 'pass', 'road', 'bar']	0	1	1
['hour', 1]	['minute']	['minute', 'bar', 'road', 'pass', 'lead', 'computer', 'table', 'suit', 'blues', 'paint', 'brush']	0	1	1
['tennis', 1]	['table']	['table', 'bar', 'suit', 'road', 'computer', 'lead', 'paint', 'blues', 'brush', 'pass']	0	1	1
['war', 2]	['battleship', 'crusader']	['well', 'game', 'saw', 'mark', 'page', 'battleship', 'kid', 'crusader', 'buffalo', 'crow', 'square', 'ray', 'ice', 'ear', 'ambulance', 'rabbit', 'scroll', 'coach', 'banana', 'sherlock', 'polo', 'kangaroo', 'waitress', 'flute', 'tuxedo']	6	0	0
['ipad', 3]	['scroll', 'game', 'kid']	['game', 'well', 'page', 'scroll', 'kid', 'saw', 'ray', 'ear', 'banana', 'mark', 'square', 'rabbit', 'buffalo', 'coach', 'ice', 'polo', 'kangaroo', 'flute', 'ambulance', 'waitress', 'crow']	2.3333333333333335	1	1
['australia', 1]	['kangaroo']	['well', 'kangaroo', 'saw', 'page', 'mark', 'coach', 'rabbit', 'ray', 'polo', 'square', 'ice', 'buffalo', 'banana', 'crow', 'ambulance', 'ear', 'flute', 'waitress']	1	0	0
['playground', 2]	['polo', 'square']	['well', 'ice', 'square', 'saw', 'page', 'polo', 'banana', 'coach', 'mark', 'ray', 'rabbit', 'buffalo', 'ear', 'ambulance', 'crow', 'waitress', 'flute']	3.5	0	0
['water', 2]	['well', 'ice']	['well', 'ice', 'saw', 'page', 'mark', 'banana', 'ear', 'rabbit', 'buffalo', 'ray', 'coach', 'ambulance', 'crow', 'flute', 'waitress']	0.5	2	2
['party', 2]	['waitress', 'ambulance']	['saw', 'page', 'mark', 'banana', 'rabbit', 'buffalo', 'coach', 'ray', 'crow', 'waitress', 'ambulance', 'flute']	9.5	0	0
