clue;clue_no;gold_guesses;model_guesses;top-5-acc;rank
calculus;2;exam, algebra;('algebra', 'exam');1;0
equation;2;exam, algebra;('algebra', 'void');1;4
knowledge;2;exam, algebra;('instruction', 'depth');0;14
math;2;exam, algebra;('algebra', 'instruction');1;1
school;2;exam, algebra;('instruction', 'algebra');0;8
study;2;exam, algebra;('exam', 'instruction');1;2
test;2;exam, algebra;('exam', 'abnormal');1;2
awkward;2;giggle, abnormal;('angry', 'giggle');0;6
cackle;2;giggle, abnormal;('giggle', 'yarn');0;6
comedy;2;giggle, abnormal;('couch', 'giggle');0;120
embarrass;2;giggle, abnormal;('angry', 'giggle');0;14
emotion;2;giggle, abnormal;('angry', 'depth');0;20
funny;2;giggle, abnormal;('angry', 'giggle');0;49
giddy;2;giggle, abnormal;('giggle', 'angry');0;14
goofy;2;giggle, abnormal;('angry', 'giggle');0;21
happy;2;giggle, abnormal;('angry', 'adore');0;98
hilarious;2;giggle, abnormal;('angry', 'giggle');0;26
hysterical;2;giggle, abnormal;('angry', 'giggle');1;4
insane;2;giggle, abnormal;('angry', 'outfit');0;21
laugh;2;giggle, abnormal;('giggle', 'angry');0;16
outburst;2;giggle, abnormal;('angry', 'giggle');0;6
quirky;2;giggle, abnormal;('adore', 'outfit');0;41
silly;2;giggle, abnormal;('angry', 'giggle');0;40
snort;2;giggle, abnormal;('giggle', 'burglar');0;5
standout;2;giggle, abnormal;('outfit', 'depth');0;187
weird;2;giggle, abnormal;('angry', 'giggle');0;6
alone;2;void, couch;('better', 'couch');0;40
comfort;2;void, couch;('better', 'couch');0;37
comfortable;2;void, couch;('better', 'couch');0;34
crack;2;void, couch;('angry', 'exam');0;29
depress;2;void, couch;('abnormal', 'giggle');0;117
depressed;2;void, couch;('angry', 'abnormal');0;33
empty;2;void, couch;('void', 'couch');1;0
furniture;2;void, couch;('couch', 'yarn');0;12
lazy;2;void, couch;('angry', 'couch');0;6
move;2;void, couch;('better', 'lead');0;47
pillow;2;void, couch;('couch', 'yarn');0;17
purchase;2;void, couch;('better', 'write');0;94
relax;2;void, couch;('couch', 'giggle');0;13
seat;2;void, couch;('couch', 'anchor');0;10
sedentary;2;void, couch;('abnormal', 'couch');0;17
sit;2;void, couch;('couch', 'write');0;10
sofa;2;void, couch;('couch', 'outfit');0;10
space;2;void, couch;('better', 'depth');0;6
stare;2;void, couch;('giggle', 'angry');0;12
store;2;void, couch;('write', 'yarn');0;105
weekend;2;void, couch;('better', 'outfit');0;89
change;2;pendulum, dusk;('action', 'pull');0;134
clock;2;pendulum, dusk;('pendulum', 'dusk');1;0
cycle;2;pendulum, dusk;('peak', 'pendulum');0;23
end;2;pendulum, dusk;('hard', 'pull');0;125
evening;2;pendulum, dusk;('tea', 'dusk');0;37
hypnotize;2;pendulum, dusk;('pendulum', 'clove');1;3
light;2;pendulum, dusk;('hand', 'dusk');0;6
midnight;2;pendulum, dusk;('dusk', 'comedy');0;10
repetitious;2;pendulum, dusk;('pendulum', 'bluejay');0;5
right;2;pendulum, dusk;('hand', 'pull');0;162
sun;2;pendulum, dusk;('dusk', 'valley');0;12
sunset;2;pendulum, dusk;('dusk', 'valley');0;8
swing;2;pendulum, dusk;('pull', 'pendulum');0;8
time;2;pendulum, dusk;('hard', 'hand');0;89
beverage;2;tea, bean;('tea', 'strawberry');1;2
black;2;tea, bean;('hard', 'bean');0;28
cafe;2;tea, bean;('tea', 'bean');1;0
caffeine;2;tea, bean;('tea', 'clove');1;1
coffee;2;tea, bean;('tea', 'bean');1;0
drink;2;tea, bean;('tea', 'strawberry');0;5
food;2;tea, bean;('tea', 'bean');1;0
green;2;tea, bean;('tea', 'bean');1;0
legume;2;tea, bean;('bean', 'strawberry');1;3
plant;2;tea, bean;('tea', 'strawberry');1;2
roast;2;tea, bean;('bean', 'clove');1;2
time;2;tea, bean;('hard', 'hand');0;114
vanilla;2;tea, bean;('strawberry', 'clove');0;7
activity;2;tourist, comedy;('action', 'peak');0;42
attraction;2;tourist, comedy;('tourist', 'comedy');1;0
audience;2;tourist, comedy;('comedy', 'pull');1;2
cinema;2;tourist, comedy;('comedy', 'tourist');1;0
cruise;2;tourist, comedy;('tourist', 'dusk');1;2
